"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","fielder_2","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pitcher_1","fielder_2_1","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment","barrel"
"FF","2020-07-31",95.8,-1.99,5.62,"Yu Darvish",621028,506433,"field_out","hit_into_play",NA,NA,NA,NA,7,"Kevin Newman grounds out, pitcher Yu Darvish to shortstop Javier Baez to first baseman Anthony Rizzo.  ","R","R","R","CHC","PIT","X","1","ground_ball",0,1,2020,-0.6,1.5,-0.29,2,NA,NA,NA,2,6,"Top",116.67,152.25,NA,NA,605170,NA,"null",5.76712098880671,-139.290233070957,-7.4222678681572,-8.46249147723588,29.3968159004821,-11.087868057232,3.37,1.53,87,95.7,4,96.7,2582,6.7,631647,506433,605170,519203,543401,592178,595879,656941,664023,518792,-1.99,"0.550","0.495","0.00","1","0","0","4",45,2,"4-Seam Fastball",4,0,0,4,0,4,0,4,"Standard","Standard",0
"FF","2020-07-31",95.3,-1.96,5.69,"Yu Darvish",621028,506433,"null","foul",NA,NA,NA,NA,5,"null","R","R","R","CHC","PIT","S","null","null",0,0,2020,-0.4,1.4,-0.03,2.72,NA,NA,NA,2,6,"Top",NA,NA,NA,NA,605170,NA,"null",5.97975393376757,-138.724395535835,-5.43982616307614,-6.2818946674694,28.8282865013405,-12.9429612844072,3.37,1.53,226,76.4,49,96.5,2543,6.8,631647,506433,605170,519203,543401,592178,595879,656941,664023,518792,-1.96,"null","null","null","null","null","null","null",45,1,"4-Seam Fastball",4,0,0,4,0,4,0,4,"Standard","Standard",0
"KC","2020-07-31",79,-1.96,5.73,"Yu Darvish",624428,506433,"strikeout","swinging_strike",NA,NA,NA,NA,4,"Adam Frazier strikes out swinging.  ","R","L","R","CHC","PIT","S","2","null",2,2,2020,1.1,-0.9,-0.31,2.72,NA,NA,NA,1,6,"Top",NA,NA,NA,NA,605170,NA,"null",1.45053846576945,-115.088205466044,1.97093643084008,9.9942839273522,20.4360955018391,-41.0959717351653,3.3,1.5,NA,NA,NA,79.6,2787,6.6,631647,506433,605170,519203,543401,592178,595879,656941,664023,518792,-1.96,"null","null","0.00","1","0","0","null",44,5,"Knuckle Curve",4,0,0,4,0,4,0,4,"Standard","Standard",NA
"SL","2020-07-31",76.9,-2.38,5.37,"Yu Darvish",624428,506433,"null","swinging_strike",NA,NA,NA,NA,14,"null","R","L","R","CHC","PIT","S","null","null",2,1,2020,1,-0.6,0.27,0.81,NA,NA,NA,1,6,"Top",NA,NA,NA,NA,605170,NA,"null",3.89867153666547,-111.960646146621,-1.5410494355461,7.34329755153496,22.3288204336189,-36.9906550034456,3.3,1.5,NA,NA,NA,77.3,2611,6.8,631647,506433,605170,519203,543401,592178,595879,656941,664023,518792,-2.38,"null","null","null","null","null","null","null",44,4,"Slider",4,0,0,4,0,4,0,4,"Standard","Standard",NA
"FC","2020-07-31",84.7,-1.98,5.72,"Yu Darvish",624428,506433,"null","ball",NA,NA,NA,NA,14,"null","R","L","R","CHC","PIT","B","null","null",1,1,2020,0.5,-0.1,0.86,1.37,NA,NA,NA,1,6,"Top",NA,NA,NA,NA,605170,NA,"null",5.74719927924497,-123.335975159947,-3.60571494886063,3.62365149042687,23.5611455810694,-33.0731251200647,3.07,1.47,NA,NA,NA,85.4,2863,6.6,631647,506433,605170,519203,543401,592178,595879,656941,664023,518792,-1.98,"null","null","null","null","null","null","null",44,3,"Cutter",4,0,0,4,0,4,0,4,"Standard","Standard",NA
"FC","2020-07-31",91.5,-2.21,5.63,"Yu Darvish",624428,506433,"null","ball",NA,NA,NA,NA,11,"null","R","L","R","CHC","PIT","B","null","null",0,1,2020,0,1.3,-1.23,3.04,NA,NA,NA,1,6,"Top",NA,NA,NA,NA,605170,NA,"null",2.55272058016981,-133.248556549809,-3.40091091216063,-0.894700028594586,28.1847727376272,-16.629616889632,3.1,1.45,NA,NA,NA,92.3,2569,6.7,631647,506433,605170,519203,543401,592178,595879,656941,664023,518792,-2.21,"null","null","null","null","null","null","null",44,2,"Cutter",4,0,0,4,0,4,0,4,"Standard","Standard",NA
"SI","2020-07-31",92.5,-2.16,5.68,"Yu Darvish",624428,506433,"null","called_strike",NA,NA,NA,NA,12,"null","R","L","R","CHC","PIT","S","null","null",0,0,2020,-1.2,1,0.06,3.41,NA,NA,NA,1,6,"Top",NA,NA,NA,NA,605170,NA,"null",8.35436334466982,-134.46074690593,-2.24778319545814,-16.4713066176061,28.533891736294,-19.3256925826399,3.12,1.47,NA,NA,NA,93.1,2417,6.6,631647,506433,605170,519203,543401,592178,595879,656941,664023,518792,-2.16,"null","null","null","null","null","null","null",44,1,"Sinker",4,0,0,4,0,4,0,4,"Standard","Standard",NA
"SI","2020-07-31",94.3,-2.05,5.81,"Yu Darvish",502481,506433,"field_out","hit_into_play",NA,NA,NA,NA,1,"Jarrod Dyson grounds out, pitcher Yu Darvish to first baseman Anthony Rizzo.  ","R","L","R","CHC","PIT","X","1","ground_ball",1,2,2020,-1.2,1.1,-0.61,3.31,NA,NA,NA,0,6,"Top",127.42,163.76,NA,NA,605170,NA,"null",6.41340718472977,-137.148309757702,-3.17837329597289,-16.4281761672449,30.4111720359269,-18.2276536415132,3.29,1.49,11,91,-18,94.6,2558,6.5,631647,506433,605170,519203,543401,592178,595879,656941,664023,518792,-2.05,"0.129","0.116","0.00","1","0","0","2",43,4,"Sinker",4,0,0,4,0,4,0,4,"Standard","Strategic",0
"FC","2020-07-31",81.9,-1.97,5.82,"Yu Darvish",502481,506433,"null","swinging_strike",NA,NA,NA,NA,6,"null","R","L","R","CHC","PIT","S","null","null",1,1,2020,0.4,0,0.79,2.5,NA,NA,NA,0,6,"Top",NA,NA,NA,NA,605170,NA,"null",5.3919873053363,-119.221589449621,-0.90568014469707,3.31104608567982,21.2289074923289,-32.6340329418523,3.29,1.49,NA,NA,NA,82.6,2631,6.6,631647,506433,605170,519203,543401,592178,595879,656941,664023,518792,-1.97,"null","null","null","null","null","null","null",43,3,"Cutter",4,0,0,4,0,4,0,4,"Standard","Strategic",NA
"FC","2020-07-31",85.2,-2.21,5.92,"Yu Darvish",502481,506433,"null","ball",NA,NA,NA,NA,1,"null","R","L","R","CHC","PIT","B","null","null",0,1,2020,0.3,0.1,-0.69,2.92,NA,NA,NA,0,6,"Top",NA,NA,NA,NA,605170,NA,"null",2.9522130808045,-124.136959490849,-1.01582015225631,2.63378802600583,22.8643583461218,-31.026989534258,3.39,1.65,NA,NA,NA,85.7,2734,6.3,631647,506433,605170,519203,543401,592178,595879,656941,664023,518792,-2.21,"null","null","null","null","null","null","null",43,2,"Cutter",4,0,0,4,0,4,0,4,"Standard","Strategic",NA
"FC","2020-07-31",80.7,-2.02,5.85,"Yu Darvish",502481,506433,"null","called_strike",NA,NA,NA,NA,6,"null","R","L","R","CHC","PIT","S","null","null",0,0,2020,0.4,-0.4,0.39,2.46,NA,NA,NA,0,6,"Top",NA,NA,NA,NA,605170,NA,"null",4.63110539946557,-117.557789935398,-0.215538251300518,2.77793776351902,20.1472795463908,-35.9819543295693,3.28,1.4,NA,NA,NA,81.3,2617,6.4,631647,506433,605170,519203,543401,592178,595879,656941,664023,518792,-2.02,"null","null","null","null","null","null","null",43,1,"Cutter",4,0,0,4,0,4,0,4,"Strategic","Strategic",NA
"SL","2020-07-31",81.6,-2.15,5.67,"Yu Darvish",607732,506433,"field_out","hit_into_play",NA,NA,NA,NA,14,"Jacob Stallings grounds out, shortstop Javier Baez to first baseman Anthony Rizzo.  ","R","R","R","CHC","PIT","X","6","ground_ball",2,2,2020,1.5,-0.4,1.02,1.88,NA,657061,NA,2,5,"Top",107.4,154.12,NA,NA,605170,NA,"null",4.29639036204217,-118.799852821371,-1.04536648429839,13.1147178395029,24.7490976730547,-36.3480909162396,3.58,1.68,10,69.1,-13,81.7,2982,6.5,631647,506433,605170,519203,543401,592178,595879,656941,664023,518792,-2.15,"0.071","0.064","0.00","1","0","0","2",35,5,"Slider",2,0,0,2,0,2,0,2,"Standard","Standard",0
